longitude,latitude,steel_id_short,steel_capacity,septic_ids
36.323157,32.302258,NST-3-7,25,"D03-B01-T01,D03-B01-T02,D03-B01-T03,D03-B01-T04,D03-B01-T05,D03-B01-T08,D03-B01-T09,D03-B01-T12,D03-B01-T13,D03-B01-T14,D03-B01-T20,D03-B01-T24,D03-B01-T27,D03-B01-T31,D03-B01-T32,D03-B03-T03,D03-B03-T13,D03-B03-T14,D03-B03-T15,D03-B03-T16,D03-B03-T17,D03-B03-T18,D03-B03-T19,D03-B03-T20"
36.324647,32.298068,NST-3-13,25,"D03-B08-T02,D03-B08-T03,D03-B08-T04,D03-B08-T05,D03-B08-T06,D03-B08-T07,D03-B10-T01,D03-B10-T02,D03-B10-T03,D03-B12-T01,D03-B12-T03,D03-B12-T05,D03-B12-T06,D03-B12-T07,D03-B12-T08,D03-B12-T09,D03-B12-T10,D03-B12-T13,D03-B12-T14,D03-B12-T15,D03-B12-T16,D03-B12-T17,D03-B12-T18,D03-B12-T20,D03-B12-T21,D03-B14-T01,D03-B14-T02,D03-B14-T03,D03-B14-T04,D04-B02-T02,D04-B02-T04"
36.326178,32.301419,NST-3-16,25,"D03-B02-T01,D03-B02-T02,D03-B02-T03,D03-B02-T04,D03-B02-T05,D03-B02-T06,D03-B02-T07,D03-B04-T01,D03-B04-T02,D03-B04-T03,D03-B04-T04,D03-B04-T05,D03-B04-T06,D03-B04-T07,D03-B04-T08,D03-B04-T09,D03-B04-T10,D03-B04-T11,D03-B04-T12,D03-B06-T01,D03-B06-T02,D03-B06-T03,D03-B06-T04,D03-B06-T05,D03-B06-T06,D03-B06-T07,D03-B06-T09,D03-B06-T11"
36.318892,32.295632,NST-4-1,25,"D03-B13-T04,D03-B13-T07,D03-B13-T08,D03-B13-T10,D03-B13-T12,D03-B13-T14,D03-B13-T16,D03-B13-T18,D03-B13-T19,D03-B13-T22,D04-B09-T10,D04-B11-T02,D04-B11-T03,D04-B11-T04,D04-B11-T05,D04-B11-T06,D04-B11-T07,D04-B11-T08,D04-B11-T09,D04-B11-T10,D04-B11-T11,D04-B11-T12,D04-B11-T14,D04-B11-T15,D04-B11-T16,D04-B11-T18,D04-B11-T19,D04-B11-T20,D04-B13-T02,D04-B13-T03,D04-B13-T04,D04-B13-T06,D04-B13-T07,D04-B13-T08,D04-B13-T10,D04-B13-T11,D04-B13-T12,D04-B13-T13,D04-B13-T16,D04-B13-T18,D04-B13-T19,D04-B13-T22,D04-B13-T25,D04-B13-T28,D04-B13-T30,D04-B13-T32,D04-B13-T35"
36.321319,32.297386,NST-4-3,25,"D04-B01-T02,D04-B01-T03,D04-B01-T05,D04-B03-T04,D04-B03-T06,D04-B03-T07,D04-B03-T09,D04-B03-T10,D04-B03-T13,D04-B03-T14,D04-B03-T15,D04-B03-T16,D04-B03-T21,D04-B03-T22,D04-B05-T02,D04-B05-T05,D04-B05-T07,D04-B05-T09,D04-B05-T10,D04-B07-T02"
36.323216,32.295105,NST-4-8,25,"D04-B10-T01,D04-B10-T02,D04-B10-T03,D04-B10-T04,D04-B10-T05,D04-B10-T06,D04-B10-T07,D04-B10-T08,D04-B10-T09,D04-B10-T10,D04-B10-T11,D04-B10-T12,D04-B10-T13,D04-B10-T14,D04-B10-T15,D04-B12-T03,D04-B12-T04,D04-B12-T05,D04-B12-T06,D04-B12-T07,D04-B12-T10"
36.328193,32.300244,NST-5-1,25,"D05-B01-T01,D05-B01-T02,D05-B01-T03,D05-B01-T04,D05-B01-T05,D05-B01-T06,D05-B01-T07,D05-B01-T08,D05-B01-T09,D05-B01-T11,D05-B01-T12,D05-B03-T01,D05-B03-T02,D05-B03-T03,D05-B03-T04"
36.327286,32.297876,NST-5-2,25,"D05-B11-T02,D05-B11-T05,D05-B11-T07,D05-B13-T01,D05-B13-T02,D05-B13-T03,D05-B13-T04,D05-B13-T05,D05-B13-T06,D05-B13-T07"
36.328504,32.294026,NST-5-8,25,"D05-B17-T02,D05-B19-T01,D05-B19-T02,D05-B19-T03,D05-B19-T04,D05-B19-T05,D05-B21-T05,D05-B21-T06,D05-B21-T07,D05-B21-T08,D05-B21-T09,D05-B21-T10"
36.330676,32.300458,NST-5-9,25,"D05-B01-T19,D05-B01-T20,D05-B01-T22,D05-B01-T23,D05-B01-T24,D05-B01-T27"
36.330579,32.298381,NST-5-10,25,"D05-B08-T01,D05-B08-T02,D05-B08-T03,D05-B08-T04,D05-B08-T05,D05-B10-T02,D05-B10-T04,D05-B10-T05,D05-B10-T06"
36.332244,32.299914,NST-5-13,25,"D05-B02-T04,D05-B02-T05,D05-B02-T06,D05-B02-T07,D05-B02-T08,D05-B02-T09,D05-B02-T10,D05-B02-T11,D05-B02-T12,D05-B02-T13,D05-B02-T14,D05-B02-T15,D05-B02-T16,D05-B02-T17,D05-B02-T18,D05-B02-T19"
36.330085,32.293953,NST-5-14,25,"D05-B20-T01,D05-B20-T02,D05-B20-T03,D05-B20-T04,D05-B22-T01,D05-B22-T02,D05-B22-T03"
36.331939,32.295636,NST-5-16,25,"D05-B12-T03,D05-B12-T04,D05-B12-T05,D05-B12-T06,D05-B14-T05,D05-B14-T06,D05-B14-T07"
36.333122,32.29868,NST-5-17,25,"D05-B04-T04,D05-B04-T05,D05-B04-T06,D05-B04-T07,D05-B04-T08,D05-B06-T05,D05-B06-T06,D05-B06-T07,D05-B06-T08,D05-B08-T06,D05-B08-T07,D05-B08-T08,D05-B10-T08,D05-B10-T09,D05-B10-T12"
36.317946,32.293802,NST-11-1,25,"D11-B01-T01,D11-B01-T02,D11-B03-T01,D11-B03-T02,D11-B03-T03,D11-B03-T04,D11-B03-T06,D11-B05-T01,D11-B05-T05,D11-B05-T06,D11-B05-T07,D11-B05-T08,D11-B05-T12"
36.317218,32.292187,NST-11-2,30,"D11-B05-T02,D11-B05-T03,D11-B05-T04,D11-B07-T01,D11-B07-T02,D11-B07-T03,D11-B07-T04,D11-B07-T05,D11-B07-T07,D11-B09-T01,D11-B09-T02,D11-B09-T03,D11-B09-T04,D11-B09-T05,D11-B09-T06,D11-B09-T07"
36.31464,32.296424,OST-2-6,20,"D12-B01-T06,D12-B01-T07,D12-B01-T08"
36.31602,32.296456,OST-2-18,20,"D12-B01-T09,D12-B01-T10,D12-B01-T11,D12-B02-T13,D12-B02-T14,D12-B02-T15,D12-B02-T17,D12-B02-T18"
36.317216,32.29634,OST-2-25,20,D12-B01-T12
36.318124,32.296149,OST-2-30,20,"D12-B01-T13,D12-B01-T14,D12-B01-T15,D12-B01-T16,D12-B02-T19,D12-B02-T20,D12-B02-T21,D12-B02-T22,D12-B03-T19"
36.322562,32.299469,OST-3-5,,"D03-B11-T21,D03-B11-T22,D03-B11-T23,D03-B11-T24,D03-B11-T26,D03-B11-T27,D03-B11-T29,D03-B11-T30,D03-B11-T31"
36.323703,32.299723,OST-3-9,,"D03-B09-T13,D03-B09-T16"
36.324112,32.300659,OST-3-10,,"D03-B05-T14,D03-B05-T15,D03-B05-T19,D03-B07-T12,D03-B07-T13,D03-B07-T16,D03-B07-T18,D03-B07-T22"
36.324444,32.301318,OST-3-11,,"D03-B01-T23,D03-B01-T26,D03-B01-T28,D03-B03-T11,D03-B03-T22,D03-B03-T23,D03-B03-T24,D03-B03-T26,D03-B03-T27"
36.324749,32.302456,OST-3-14,,"D03-B01-T19,D03-B01-T21,D03-B01-T25,D03-B01-T29,D03-B01-T30,D03-B01-T33"
36.326461,32.299793,OST-3-17,,"D03-B06-T08,D03-B06-T10,D03-B06-T12,D03-B06-T13,D03-B06-T14"
36.326703,32.298535,OST-3-18,,"D03-B08-T08,D03-B08-T09,D03-B08-T10,D03-B10-T04,D03-B10-T05,D03-B10-T06"
36.321237,32.297319,OST-4-2,,"D04-B03-T03,D04-B03-T05,D04-B05-T01,D04-B05-T03,D04-B09-T06,D04-B09-T08,D04-B09-T09,D04-B09-T12"
36.322022,32.295994,OST-4-4,,"D04-B07-T01,D04-B07-T03,D04-B07-T04,D04-B07-T05,D04-B07-T06,D04-B07-T07,D04-B07-T08,D04-B07-T09,D04-B07-T10,D04-B07-T11,D04-B07-T12,D04-B07-T13,D04-B07-T14,D04-B07-T15,D04-B07-T16,D04-B09-T16,D04-B09-T17,D04-B09-T18,D04-B09-T19,D04-B09-T20,D04-B11-T17"
36.322761,32.297802,OST-4-6,,"D04-B01-T01,D04-B01-T06,D04-B01-T08,D04-B01-T09,D04-B01-T10,D04-B01-T11,D04-B03-T23,D04-B03-T25,D04-B03-T26,D04-B03-T27"
36.324449,32.295555,OST-4-12,,"D04-B08-T01,D04-B08-T03,D04-B08-T05,D04-B08-T06,D04-B08-T07,D04-B08-T09,D04-B08-T10,D04-B08-T11,D04-B08-T12,D04-B08-T13"
36.325633,32.297604,OST-4-15,,"D03-B14-T05,D03-B14-T06,D04-B02-T06,D04-B02-T08,D04-B02-T09,D04-B02-T10,D04-B02-T12"
36.327914,32.29686,OST-5-3,25,"D05-B15-T02,D05-B15-T03,D05-B15-T04,D05-B15-T05,D05-B15-T06,D05-B15-T07,D05-B15-T08"
36.328411,32.297956,OST-5-4,25,"D05-B07-T04,D05-B09-T02,D05-B09-T03,D05-B09-T04,D05-B09-T07,D05-B09-T08,D05-B09-T09,D05-B09-T10,D05-B09-T11,D05-B09-T12"
